cell_id,lat,lon,depth_km,Degree,Betweenness,Closeness,PageRank,community
41_159_0,36.45190501112385,-121.02075248417432,0.0,0.038966256025709696,0.005210096867171173,0.42152795416701944,0.0011195728803446718,2
71_124_1,34.046372819678716,-116.8218688064257,10.0,0.013122656668452061,0.0009201337968681847,0.39194384307551006,0.0003153588856337623,5
33_189_0,38.821152671399794,-122.80284438287686,0.0,0.38802222817354043,0.19731461876885378,0.5287173224304855,0.030108989007024398,2
37_175_1,37.752596403326265,-121.93856241434139,10.0,0.01620246384574183,0.0008480107637032117,0.3947250191601258,0.0005866585672142805,9
74_130_0,34.62354527658267,-116.64350768322065,0.0,0.03792849491162292,0.003911096649265062,0.41662482566248255,0.0016576552522478895,5
73_117_0,33.4908914693852,-116.4576338400251,0.0,0.03367702196036422,0.005118185782892159,0.41683411475775844,0.0009601296592798636,5
71_101_0,32.03803119901478,-116.30243103448275,0.0,0.011783610069630423,0.0006861108555445058,0.38944513975803086,0.0002513550217373049,2
38_169_0,37.25879104730917,-121.64124460779814,0.0,0.029057311194429565,0.002144649321473182,0.41166418609778954,0.0007568179693834374,4
70_118_0,33.5094414904613,-116.79217344323689,0.0,0.05188805570433851,0.015289565022904052,0.42564226785027287,0.0017303433957208865,4
67_125_2,34.05588253351784,-117.2748176495695,20.0,0.02748393144081414,0.002037802470298595,0.4114827263210094,0.0007178993161346864,2
75_100_0,32.04302430416667,-115.84080555729167,0.0,0.005557043385109802,8.163001505649194e-05,0.37598489616110764,0.00011744412579982955,2
75_123_0,34.046313566147994,-116.35706304751038,0.0,0.044590251740760575,0.005841634304143837,0.41791880019026834,0.002765878246364186,5
30_210_0,40.571583325,-123.813402775,0.0,0.0008034279592929834,5.392020352469292e-07,0.3232900432900433,1.8307207108076883e-05,2
71_119_1,33.64281432508486,-116.7217892056687,10.0,0.04187868237814676,0.006590934283532754,0.42555131346515473,0.0013175301495622475,2
63_165_0,37.47643427048925,-118.76341632220642,0.0,0.018177557579003748,0.001176170115992342,0.4011441309573368,0.0005464789607229216,11
74_109_1,32.80799790503145,-116.14564569937107,10.0,0.008871183717193358,0.0012467986957817735,0.37940406939822696,0.00022065467959582756,2
64_273_1,46.85028960023641,-121.93523049787233,10.0,0.007967327262988752,0.00031303940751140487,0.3853158940226505,0.00019647888605986742,13
66_146_0,35.90134182372881,-117.91504805084746,0.0,0.003514997321906802,1.2663843172536002e-05,0.3728407388916625,8.087385978044295e-05,3
64_165_1,37.47371451956228,-118.61763320905595,10.0,0.023901981788966256,0.001503124322159599,0.4058475082875931,0.0006906598696540033,4
79_114_0,33.31998735724138,-115.71738582137931,0.0,0.014260846277450456,0.001088771451053249,0.39355493195262375,0.000520008273611581,0
74_123_1,34.035303762096774,-116.45668817096775,10.0,0.0069965184788430635,0.0008956619670030099,0.3764919400577241,0.0001623761925714857,5
79_108_1,32.8113289811245,-115.59506459156627,10.0,0.019014461703267274,0.002095957565130553,0.40045042629631616,0.0006391993544629857,0
74_123_0,34.030526669333334,-116.452024444,0.0,0.004284949116229245,0.0002124980218696291,0.3692733700892526,9.669244142928282e-05,11
70_291_0,48.55517948205128,-121.8243205128205,0.0,0.0008703802892340653,3.416345054189499e-05,0.31701829604788384,2.065781627419034e-05,1
